month,housing_observation_kind,moscow_secondary_rub_m2,spb_secondary_rub_m2,moscow_primary_rub_m2,spb_primary_rub_m2,new_york_housing_index,london_housing_gbp,paris_secondary_eur_m2,vienna_housing_index,hong_kong_housing_index,usd_rub,eur_rub,gbp_rub,jpy_rub,hkd_rub,sp500_close,imoex_close,nasdaq100_close,russell2000_close,dowjones_close,rtsi_close,dax_price_close,nikkei225_close,gold_usd_oz
2014-02,interpolated,178730.56,88243.53,161803.28,97618.01,227.84,383000.0,8140.0,203.833333,244.3,36.0501,49.3454,60.1171,0.352155,4.604318,1859.449951,1444.71,3696.100098,1183.030029,16321.709961,1267.27,5110.049805,14841.070312,1326.5
2014-03,reported,179146.33,89328.86,166946.33,98783.51,226.84,387000.0,8140.0,204.6,243.7,35.6871,49.0519,59.3227,0.349514,4.585447,1872.339966,1369.29,3595.73999,1173.040039,16457.660156,1226.1,5037.490234,14827.830078,1291.75
2014-04,interpolated,180457.8,89465.04,167987.49,99176.03,229.163333,402000.0,8136.67,205.5,245.0,35.6983,49.5064,60.1195,0.347818,4.610436,1883.949951,1306.01,3582.02002,1126.859985,16580.839844,1155.7,5030.339844,14304.110352,1288.5
2014-05,interpolated,181769.26,89601.22,169028.65,99568.56,231.486667,410000.0,8133.33,206.4,247.4,34.7352,47.2677,58.1571,0.341731,4.480733,1923.569946,1432.03,3736.820068,1134.5,16717.169922,1295.75,5115.540039,14632.379883,1250.5
2014-06,reported,183080.73,89737.4,170069.81,99961.08,233.81,414000.0,8130.0,207.3,250.3,33.6306,45.8251,57.2561,0.331712,4.328922,1960.22998,1476.38,3849.47998,1192.959961,16826.599609,1366.08,5058.859863,15162.099609,1315.0
2014-07,interpolated,183578.44,90031.85,170070.91,99031.32,234.896667,427000.0,8120.0,205.6,256.4,35.7271,47.8958,60.4967,0.349768,4.619179,1930.670044,1379.61,3892.5,1120.069946,16563.300781,1219.36,4839.910156,15620.769531,1285.25
2014-08,interpolated,184076.15,90326.31,170072.02,98101.57,235.983333,433000.0,8110.0,203.9,261.2,36.9316,48.6315,61.3028,0.355744,4.758091,2003.369995,1400.71,4082.560059,1174.349976,17098.449219,1190.23,4872.160156,15424.589844,1285.75
2014-09,reported,184573.86,90620.76,170073.12,97171.81,237.07,432000.0,8100.0,202.2,266.3,39.3866,49.954,64.0387,0.359449,5.110906,1972.290039,1411.07,4049.449951,1101.680054,17042.900391,1123.72,4874.279785,16173.519531,1216.5
2014-10,interpolated,186805.19,90623.68,171561.46,97008.98,236.526667,431000.0,8050.0,202.933333,270.5,43.3943,54.6378,69.3181,0.397075,5.625514,2018.050049,1488.47,4158.209961,1173.51001,17390.519531,1091.44,4798.439941,16413.759766,1164.25
2014-11,interpolated,189036.51,90626.61,173049.8,96846.16,235.983333,429000.0,8000.0,203.666667,274.2,49.322,61.4108,77.3813,0.417135,6.343698,2067.560059,1533.68,4337.790039,1173.22998,17828.240234,974.27,5134.890137,17459.849609,1182.75
2014-12,reported,191267.84,90629.53,174538.14,96683.33,235.44,431000.0,7950.0,204.4,278.3,56.2584,68.3427,87.4199,0.470644,7.257375,2058.899902,1396.61,4236.279785,1204.699951,17823.070312,790.71,5044.709961,17450.769531,1206.0
2015-01,interpolated,190218.03,86969.01,174264.04,95301.87,235.82,431000.0,7936.67,205.2,284.6,68.9291,78.1105,104.0071,0.584888,8.913061,1994.98999,1647.69,4148.430176,1165.390015,17164.949219,737.35,5486.319824,17674.390625,1260.25
2015-02,interpolated,189168.22,83308.49,173989.93,93920.41,236.2,433000.0,7923.33,206.0,291.5,61.2718,68.6857,94.4811,0.513487,7.879782,2104.5,1758.97,4440.669922,1233.369995,18132.699219,896.63,5847.47998,18797.939453,1214.0
2015-03,reported,188118.41,79647.97,173715.83,92538.95,236.58,433000.0,7910.0,206.8,291.5,58.4643,63.3695,86.8429,0.48824,7.596258,2067.889893,1626.18,4333.689941,1252.77002,17776.119141,880.42,6137.77002,19206.990234,1187.0
2015-04,interpolated,189741.24,80114.84,173451.8,93064.08,237.93,439000.0,7903.33,207.433333,297.4,51.7029,56.806,79.6483,0.43404,6.535059,2085.51001,1688.34,4414.25,1220.130005,17840.519531,1029.31,5847.839844,19520.009766,1180.25
2015-05,interpolated,191364.08,80581.71,173187.77,93589.22,239.28,445000.0,7896.67,208.066667,298.8,52.9716,58.0145,81.0465,0.427794,6.821062,2107.389893,1609.19,4508.25,1246.530029,18010.679688,968.81,5726.709961,20563.150391,1191.4
2015-06,reported,192986.91,81048.58,172923.74,94114.35,240.63,449000.0,7890.0,208.7,301.3,55.524,61.5206,87.1727,0.452021,7.092529,2063.110107,1654.55,4396.759766,1253.949951,17619.509766,939.93,5491.629883,20235.730469,1171.0
2015-07,interpolated,192755.21,81786.76,173634.77,94408.05,243.143333,462000.0,7930.0,208.8,304.1,58.9906,64.6478,92.1079,0.475098,7.602761,2103.840088,1669.0,4588.910156,1238.680054,17689.859375,858.82,5674.27002,20585.240234,1098.4
2015-08,interpolated,192523.5,82524.94,174345.81,94701.76,245.656667,467000.0,7970.0,208.9,305.3,66.4779,75.0469,102.4026,0.550109,8.63402,1972.180054,1733.17,4274.580078,1159.449951,16528.029297,833.6,5147.680176,18890.480469,1135.0
2015-09,reported,192291.8,83263.12,175056.84,94995.46,248.17,471000.0,8010.0,209.0,306.1,66.2367,74.5825,100.6467,0.552779,8.590079,1920.030029,1642.97,4181.060059,1100.689941,16284.700195,789.73,4847.120117,17388.150391,1114.0
2015-10,interpolated,190775.63,82974.36,177468.7,94211.69,247.916667,472000.0,8003.33,210.1,302.3,64.3742,70.7537,98.7436,0.533186,8.286723,2079.360107,1711.53,4648.830078,1161.859985,17663.539062,845.54,5444.060059,19083.099609,1142.35
2015-11,interpolated,189259.47,82685.6,179880.57,93427.91,247.663333,477000.0,7996.67,211.2,293.4,66.2393,70.3859,99.9352,0.541281,8.584798,2080.409912,1771.05,4664.509766,1198.109985,17719.919922,847.1,5711.029785,19747.470703,1061.9
2015-12,reported,187743.3,82396.84,182292.43,92644.14,247.41,482000.0,7990.0,212.3,285.0,72.8827,79.6972,107.983,0.605087,9.445482,2043.939941,1761.36,4593.27002,1135.890015,17425.029297,757.04,5390.310059,19033.710938,1060.0
2016-01,interpolated,185581.31,85102.73,174732.75,92024.62,246.073333,490000.0,7996.67,214.966667,279.0,75.1723,81.9077,107.97,0.622236,9.624764,1940.23999,1784.92,4279.169922,1035.380005,16466.300781,745.3,4899.580078,17518.300781,1111.8
